"word1","word2","n"
"ftse","100",8
"germany","contracts",8
"global","companies",8
"global","economic",8
"global","fears",8
"global","issues",8
"global","risk",8
"government","statement",8
"halts","trips",8
"health","agencies",8
"health","england",8
"health","experts",8
"hebei","province",8
"highly","suspected",8
"hit","production",8
"hits","4,515",8
"hold","special",8
"holiday","including",8
"horwitzjosh","heekyongyang",8
"identified","wuhan",8
"including","lg",8
"india","3",8
"indian","nationals",8
"infected","41",8
"infected","rose",8
"infects","asia",8
"international","public",8
"investors","worried",8
"iphone","reports",8
"jan","20",8
"kills","26",8
"kills","54",8
"kindergartens","schools",8
"kong","parks",8
"kong","protesters",8
"kong's","economy",8
"lagos","airport",8
"largest","annual",8
"leishenshan","hospital",8
"level","preventive",8
"lg","electronics",8
"linked","coronavirus",8
"lockdown","cmp",8
"lockdown","transit",8
"major","severe",8
"media","amid",8
"mhkqf","2",8
"mike","roman",8
"minister","dr",8
"monday","arrived",8
"mongolia","closes",8
"monitoring","indians",8
"month","pneumonia",8
"moscow","airport",8
"mysterious","coronavirus",8
"mysterious","strain",8
"mystery","pneumonia",8
"national","security",8
"nationwide","measures",8
"nationwide","travelers",8
"newly","identified",8
"news","briefing",8
"news","siobhanrobbins",8
"nsw","government",8
"office","preparing",8
"olympic","boxing",8
"on.rt.com","a9lf",8
"on.rt.com","a9ra",8
"organization","committee",8
"outbreak","bhubaneswar",8
"outbreak","set",8
"outbreak","widens",8
"outward","flights",8
"packed","trains",8
"paris","cancels",8
"parks","amid",8
"past","20",8
"patients","tested",8
"people","considered",8
"people","worldwide",8
"picture","sky",8
"pneumonia","patients",8
"pneumonia","reported",8
"pope","francis",8
"praises","china's",8
"preps","10",8
"pretty","confident",8
"preventive","control",8
"protection","masks",8
"province","china",8
"province","live",8
"pti","china",8
"quarantine","flood",8
"quotes","official",8
"railway","stations",8
"remain","shut",8
"reports","13",8
"reports","440",8
"respiratory","protection",8
"respiratory","syndrome",8
"response","efforts",8
"restrict","business",8
"restricts","employee",8
"reut.rs","2rydrdq",8
